community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_cys__L_e	1.0	0.03	1	0.03	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_etoh_e	1.0	0.03	1	0.03	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_fe2_e	1.0	0.42	1	0.42	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_glyc3p_e	1.0	0.97	1	0.97	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_gthrd_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_h2o_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_h_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_pi_e	1.0	0.03	1	0.03	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Acinetobacter_gyllenbergii_NIPH_230_	M_s_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_cu2_e	1.0	1.0	1	1.0	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_etoh_e	1.0	0.03	1	0.03	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_fe2_e	1.0	0.42	1	0.42	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_gthrd_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_h2o_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_h_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_o2_e	1.0	1.0	1	1.0	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_orn_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_pi_e	1.0	0.03	1	0.03	1721.B3B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Luteipulveratus_halotolerans_C296001_	M_s_e	1.0	0.01	1	0.01	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_LalaDgluMdap_e	0.5	0.31	1	0.155	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_acald_e	0.5	0.03	1	0.015	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_cellb_e	0.5	0.03	1	0.015	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_cys__L_e	0.5	0.13	1	0.065	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_etoh_e	0.5	0.01	1	0.005	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_fe2_e	0.5	1.0	1	0.5	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_g3pg_e	0.5	0.04	1	0.02	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_gly_e	0.5	0.01	1	0.005	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_glyc3p_e	0.5	0.29	1	0.145	1721.B3B
all	minimal	Luteipulveratus_halotolerans_C296001_	Acinetobacter_gyllenbergii_NIPH_230_	M_glyc_e	0.5	0.01	1	0.005	1721.B3B
