community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Dokdonia_pacifica_DSM_25597_	Flaviramulus_ichthyoenteri_Th78_	M_nh4_e	0.0571428571428571	0.03	1	0.0017142857142857	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_acald_e	0.0571428571428571	0.57	1	0.0325714285714285	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_actn__R_e	0.0571428571428571	0.01	1	0.0005714285714285	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_ala__D_e	0.0571428571428571	0.01	1	0.0005714285714285	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_cys__L_e	0.0571428571428571	0.02	1	0.0011428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_fe2_e	0.0571428571428571	0.99	1	0.0565714285714285	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_fe3pyovd_kt_e	0.0571428571428571	0.02	1	0.0011428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_glyc_e	0.0571428571428571	0.01	1	0.0005714285714285	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_gua_e	0.0571428571428571	0.34	1	0.0194285714285714	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_h2o_e	0.0571428571428571	0.02	1	0.0011428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Glaciecola_pallidula_DSM_14239_ACAM_615_	M_nh4_e	0.0571428571428571	0.03	1	0.0017142857142857	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Haliea_salexigens_DSM_19537_	M_acald_e	0.0571428571428571	0.57	1	0.0325714285714285	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Haliea_salexigens_DSM_19537_	M_cys__L_e	0.0571428571428571	0.02	1	0.0011428571428571	1222.B5.5.7.06
